Name,Committee ID,Treasurer,Street_1,Street_2,City,ZIP code,state,Connected Org Name,Political Orientation,Filing frequency,Total receipts (includes both itemized and unitemized contributions),Total unitemized contributions,cash on hand,last report date,total IEs,IEs support dems,IEs oppose dems,IEs support reps,IEs oppose reps
"RESTORE OUR FUTURE, INC.",C00490045,"SPIES, CHARLES R.","601 PENNSYLVANIA AVE., NW",SUITE 1000N,WASHINGTON,20004,DC,,Backs Republicans,Monthly,131692123.8,298,24203768.02,10/17/12,142655346.1,0,88572359.38,14090891.74,39992094.96
AMERICAN CROSSROADS,C00487363,"CROSBY, CALEB",1401 NEW YORK AVENUE NW,SUITE 1200,WASHINGTON,20005,DC,NONE,Backs Republicans,Monthly,80091020.05,188925.54,6423725.61,10/17/12,104710472.6,0,95858189.75,8477066.19,375216.7
PRIORITIES USA ACTION,C00495861,"SPEED, GREG","1101 15TH STREET, NW",SECOND FLOOR,WASHINGTON,20005,DC,UNITY 2012,Backs Democrats,Monthly,63897639.57,279649.94,10086434.44,10/17/12,66182180.84,0,0,0,66182180.84
MAJORITY PAC,C00484642,"LAMBE, REBECCA","700 13TH STREET, NW",SUITE 600,WASHINGTON,20005,DC,NONE,Backs Democrats,Quarterly,34920454.31,43230.19,7461198.55,10/17/12,37477541.49,3609416.59,0,0,33868124.9
HOUSE MAJORITY PAC,C00495028,CANDACE BRYAN ABBEY,700 13TH STREET NW SUITE 600,,WASHINGTON,20005,DC,NONE,Backs Democrats,Quarterly,27742796.54,243088.42,5196881.19,10/17/12,30752440.84,865048.68,0,0,29709981.78
FREEDOMWORKS FOR AMERICA,C00499020,RYAN HECKER,400 N CAPITOL STREET NW SUITE 765,,WASHINGTON,20001,DC,,Backs Republicans,Monthly,15417616.16,3060137.71,2618548.37,10/17/12,19355360.85,12143.28,7031389.15,10889068.42,1422760
WINNING OUR FUTURE,C00507525,BRENT A MUDD,2100 RIVERSIDE PKWY STE 119 #351,,LAWRENCEVILLE,30043,GA,,Backs Republicans,Monthly,23921505.27,99330.94,221469.56,10/17/12,17008038.79,0,5000,12971050.35,4031988.44
CLUB FOR GROWTH ACTION,C00487470,CHRIS CHOCOLA,2001 L ST NW STE 600,,WASHINGTON,20036,DC,,Backs Republicans,Monthly,17210348.54,441272.66,1485970.35,10/17/12,16585176.7,0,4259970.59,3060072.81,9265133.3
SERVICE EMPLOYEES INTERNATIONAL UNION PEA-FEDERAL,C00523621,ELISEO MEDINA,1800 MASSACHUSETTS AVENUE NW,,WASHINGTON,20036,DC,SERVICE EMPLOYEES INTERNATIONAL UNION,Backs Democrats,Quarterly,13419977.85,13419977.85,3560234.17,10/17/12,15202306.28,12873970.08,0,5679,2322657.2
ENDING SPENDING ACTION FUND,C00489856,"WATKINS, NANCY H.",610 S. BOULEVARD,,TAMPA,33606,FL,,Backs Republicans,Monthly,13391434.39,1357.47,4053927.88,10/17/12,13238296.45,0,6674473.03,6439641.92,124181.5
CONGRESSIONAL LEADERSHIP FUND,C00504530,CHARLES MEACHUM,555 13TH STREET NW SUITE 510W,,WASHINGTON,20004,DC,,Backs Republicans,Quarterly,10800737.33,324,8725265.35,10/17/12,9450237.64,0,5961334.66,0,0
INDEPENDENCE USA PAC,C00532705,,,,,,DC,,Unassigned,Quarterly,,,,,8169429.56,5113334.72,296161.4,2077143.05,682790.39
WOMEN VOTE!,C00473918,"SCHRIOCK, STEPHANIE","1120 CONNECTICUT AVE, NW",STE 1100,WASHINGTON,20036,DC,EMILY'S LIST,Backs Democrats,Monthly,8034801.6,856365.6,883682.63,10/17/12,7887648.77,1721473.05,92904.12,0,6073271.6
